Fusion Mode: model list ['gat', 'gin']; dataset pubmed; loss_oriented label_oriented; anomaly type min; fusion strategy: 0; test auc mean 0.9460630017338664; test auc std 0.0005148749057799379; best val auc mean 0.9325745670520015
Fusion Mode: model list ['gat', 'gin']; dataset pubmed; loss_oriented label_oriented; anomaly type min; fusion strategy: 1; test auc mean 0.9419365377386525; test auc std 0.0007804065413548923; best val auc mean 0.9361619326021854
Fusion Mode: model list ['bwgnn', 'gat']; dataset pubmed; loss_oriented label_oriented; anomaly type min; fusion strategy: 0; test auc mean 0.9544992354062974; test auc std 0.001901783572370703; best val auc mean 0.9423614021280292
Fusion Mode: model list ['bwgnn', 'gat']; dataset pubmed; loss_oriented label_oriented; anomaly type min; fusion strategy: 1; test auc mean 0.9584126759205137; test auc std 0.00010012059930581915; best val auc mean 0.9492894218615316
Fusion Mode: model list ['bwgnn', 'gin']; dataset pubmed; loss_oriented label_oriented; anomaly type min; fusion strategy: 0; test auc mean 0.9468430841171157; test auc std 0.002334315271895968; best val auc mean 0.9360595940186228
Fusion Mode: model list ['bwgnn', 'gin']; dataset pubmed; loss_oriented label_oriented; anomaly type min; fusion strategy: 1; test auc mean 0.9591998236612721; test auc std 0.001012092627313898; best val auc mean 0.9481260497902975
Fusion Mode: model list ['bwgnn', 'gat', 'gin']; dataset pubmed; loss_oriented label_oriented; anomaly type min; fusion strategy: 0; test auc mean 0.955945606587511; test auc std 0.00033251976974131385; best val auc mean 0.9409680131238694
Fusion Mode: model list ['bwgnn', 'gat', 'gin']; dataset pubmed; loss_oriented label_oriented; anomaly type min; fusion strategy: 1; test auc mean 0.9587298101012963; test auc std 0.0007732049422445178; best val auc mean 0.9478971614351761
Fusion Mode: model list ['gat', 'gin']; dataset pubmed; loss_oriented label_oriented; anomaly type min; fusion strategy: 0; test auc mean 0.8156602082368725; test auc std 0.0017082712339177855; best val auc mean 0.8019896960017885
Fusion Mode: model list ['gat', 'gin']; dataset pubmed; loss_oriented label_oriented; anomaly type min; fusion strategy: 1; test auc mean 0.8679404345281516; test auc std 0.00475057735910013; best val auc mean 0.8746915450559026
Fusion Mode: model list ['bwgnn', 'gat']; dataset pubmed; loss_oriented label_oriented; anomaly type min; fusion strategy: 0; test auc mean 0.7996870488871651; test auc std 0.0015852699078670548; best val auc mean 0.804400459599461
