Single Mode: model name bwgnn; dataset pubmed; loss_oriented label_oriented; anomaly type min; test auc mean 0.9597407938785271; test auc std 0.00032701270304821454; best val auc mean 0.950741961119004
Single Mode: model name bwgnn; dataset pubmed; loss_oriented reconstruction_oriented; anomaly type min; test auc mean 0.5351940414828985; test auc std 0.014986992360028447; best val auc mean 0.5349526508376177
Single Mode: model name bwgnn; dataset pubmed; loss_oriented ssl_oriented; anomaly type min; test auc mean 0.8642334992413104; test auc std 0.1590952629299528; best val auc mean 0.8692559691118902
Single Mode: model name gin; dataset pubmed; loss_oriented label_oriented; anomaly type min; test auc mean 0.9230957365782808; test auc std 0.00020207936891803103; best val auc mean 0.9190615258031215
Single Mode: model name gin; dataset pubmed; loss_oriented reconstruction_oriented; anomaly type min; test auc mean 0.8921511592893706; test auc std 0.0029267338392536496; best val auc mean 0.8931115145599314
Single Mode: model name gin; dataset pubmed; loss_oriented ssl_oriented; anomaly type min; test auc mean 0.9225639454215893; test auc std 0.000644417569037668; best val auc mean 0.9168360257366844
Single Mode: model name gcn; dataset pubmed; loss_oriented label_oriented; anomaly type min; test auc mean 0.9170101965507673; test auc std 0.0010760773293266978; best val auc mean 0.913014069319378
Single Mode: model name gcn; dataset pubmed; loss_oriented reconstruction_oriented; anomaly type min; test auc mean 0.8855180048532512; test auc std 0.004776547446032186; best val auc mean 0.8831015873340352
Single Mode: model name gcn; dataset pubmed; loss_oriented ssl_oriented; anomaly type min; test auc mean 0.8983091202153851; test auc std 0.002899106373115191; best val auc mean 0.8959574087512904
Single Mode: model name gat; dataset pubmed; loss_oriented label_oriented; anomaly type min; test auc mean 0.922264035755826; test auc std 0.0005831340134308662; best val auc mean 0.9164196827376146
Single Mode: model name gat; dataset pubmed; loss_oriented reconstruction_oriented; anomaly type min; test auc mean 0.8030013992950387; test auc std 0.151352167172053; best val auc mean 0.8011606166378773
Single Mode: model name gat; dataset pubmed; loss_oriented ssl_oriented; anomaly type min; test auc mean 0.9008745062614023; test auc std 0.003167145946415908; best val auc mean 0.8981068639676195
Single Mode: model name bwgnn; dataset pubmed; loss_oriented label_oriented; anomaly type syn; test auc mean 0.8474614883569453; test auc std 0.008073988097028823; best val auc mean 0.8578731094799776
Single Mode: model name bwgnn; dataset pubmed; loss_oriented reconstruction_oriented; anomaly type syn; test auc mean 0.6921020029311187; test auc std 0.015912421681137653; best val auc mean 0.7299088776748454
Single Mode: model name bwgnn; dataset pubmed; loss_oriented ssl_oriented; anomaly type syn; test auc mean 0.8366131900341964; test auc std 0.003919926715562249; best val auc mean 0.8444639210347175
Single Mode: model name gin; dataset pubmed; loss_oriented label_oriented; anomaly type syn; test auc mean 0.8016216902784563; test auc std 0.00043557693715166814; best val auc mean 0.8343124204575725
Single Mode: model name gin; dataset pubmed; loss_oriented reconstruction_oriented; anomaly type syn; test auc mean 0.7421371437876567; test auc std 0.004196932999467384; best val auc mean 0.7787384940953621
Single Mode: model name gin; dataset pubmed; loss_oriented ssl_oriented; anomaly type syn; test auc mean 0.7830019866471258; test auc std 0.009764271023074365; best val auc mean 0.8172751724035873
Single Mode: model name gcn; dataset pubmed; loss_oriented label_oriented; anomaly type syn; test auc mean 0.7678456603159095; test auc std 0.008625346066970293; best val auc mean 0.7840018350253055
Single Mode: model name gcn; dataset pubmed; loss_oriented reconstruction_oriented; anomaly type syn; test auc mean 0.689259827389676; test auc std 0.04943602143428412; best val auc mean 0.7159167357267588
Single Mode: model name gcn; dataset pubmed; loss_oriented ssl_oriented; anomaly type syn; test auc mean 0.7355589643380558; test auc std 0.002096321348112925; best val auc mean 0.7609935774114304
Single Mode: model name gat; dataset pubmed; loss_oriented label_oriented; anomaly type syn; test auc mean 0.865059436573848; test auc std 0.0031813404031092096; best val auc mean 0.8710654615680588
Single Mode: model name gat; dataset pubmed; loss_oriented reconstruction_oriented; anomaly type syn; test auc mean 0.5745858329262334; test auc std 0.08289257759682533; best val auc mean 0.5819742800485395
